t,state
95941,1.97626e-323
95942,1.97626e-323
95943,1.97626e-323
95944,1.97626e-323
95945,1.97626e-323
95946,1.97626e-323
95947,1.97626e-323
95948,1.97626e-323
95949,1.97626e-323
95950,1.97626e-323
95951,1.97626e-323
95952,1.97626e-323
95953,1.97626e-323
95954,1.97626e-323
95955,1.97626e-323
95956,1.97626e-323
95957,1.97626e-323
95958,1.97626e-323
95959,1.97626e-323
95960,1.97626e-323
95961,1.97626e-323
95962,1.97626e-323
95963,1.97626e-323
95964,1.97626e-323
95965,1.97626e-323
95966,1.97626e-323
95967,1.97626e-323
95968,1.97626e-323
95969,1.97626e-323
95970,1.97626e-323
95971,1.97626e-323
95972,1.97626e-323
95973,1.97626e-323
95974,1.97626e-323
95975,1.97626e-323
95976,1.97626e-323
95977,1.97626e-323
95978,1.97626e-323
95979,1.97626e-323
95980,1.97626e-323
95981,1.97626e-323
95982,1.97626e-323
95983,1.97626e-323
95984,1.97626e-323
95985,1.97626e-323
95986,1.97626e-323
95987,1.97626e-323
95988,1.97626e-323
95989,1.97626e-323
95990,1.97626e-323
95991,1.97626e-323
95992,1.97626e-323
95993,1.97626e-323
95994,1.97626e-323
95995,1.97626e-323
95996,1.97626e-323
95997,1.97626e-323
95998,1.97626e-323
95999,1.97626e-323
96000,1.97626e-323
96001,1.97626e-323
96002,1.97626e-323
96003,1.97626e-323
96004,1.97626e-323
96005,1.97626e-323
96006,1.97626e-323
96007,1.97626e-323
96008,1.97626e-323
96009,1.97626e-323
96010,1.97626e-323
96011,1.97626e-323
96012,1.97626e-323
96013,1.97626e-323
96014,1.97626e-323
96015,1.97626e-323
96016,1.97626e-323
96017,1.97626e-323
96018,1.97626e-323
96019,1.97626e-323
96020,1.97626e-323
96021,1.97626e-323
96022,1.97626e-323
96023,1.97626e-323
96024,1.97626e-323
96025,1.97626e-323
96026,1.97626e-323
96027,1.97626e-323
96028,1.97626e-323
96029,1.97626e-323
96030,1.97626e-323
96031,1.97626e-323
96032,1.97626e-323
96033,1.97626e-323
96034,1.97626e-323
96035,1.97626e-323
96036,1.97626e-323
96037,1.97626e-323
96038,1.97626e-323
96039,1.97626e-323
96040,1.97626e-323
96041,1.97626e-323
96042,1.97626e-323
96043,1.97626e-323
96044,1.97626e-323
96045,1.97626e-323
96046,1.97626e-323
96047,1.97626e-323
96048,1.97626e-323
96049,1.97626e-323
96050,1.97626e-323
96051,1.97626e-323
96052,1.97626e-323
96053,1.97626e-323
96054,1.97626e-323
96055,1.97626e-323
96056,1.97626e-323
96057,1.97626e-323
96058,1.97626e-323
96059,1.97626e-323
96060,1.97626e-323
96061,1.97626e-323
96062,1.97626e-323
96063,1.97626e-323
96064,1.97626e-323
96065,1.97626e-323
96066,1.97626e-323
96067,1.97626e-323
96068,1.97626e-323
96069,1.97626e-323
96070,1.97626e-323
96071,1.97626e-323
96072,1.97626e-323
96073,1.97626e-323
96074,1.97626e-323
96075,1.97626e-323
96076,1.97626e-323
96077,1.97626e-323
96078,1.97626e-323
96079,1.97626e-323
96080,1.97626e-323
96081,1.97626e-323
96082,1.97626e-323
96083,1.97626e-323
96084,1.97626e-323
96085,1.97626e-323
96086,1.97626e-323
96087,1.97626e-323
96088,1.97626e-323
96089,1.97626e-323
96090,1.97626e-323
96091,1.97626e-323
96092,1.97626e-323
96093,1.97626e-323
96094,1.97626e-323
96095,1.97626e-323
96096,1.97626e-323
96097,1.97626e-323
96098,1.97626e-323
96099,1.97626e-323
96100,1.97626e-323
96101,1.97626e-323
96102,1.97626e-323
96103,1.97626e-323
96104,1.97626e-323
96105,1.97626e-323
96106,1.97626e-323
96107,1.97626e-323
96108,1.97626e-323
96109,1.97626e-323
96110,1.97626e-323
96111,1.97626e-323
96112,1.97626e-323
96113,1.97626e-323
96114,1.97626e-323
96115,1.97626e-323
96116,1.97626e-323
96117,1.97626e-323
96118,1.97626e-323
96119,1.97626e-323
96120,1.97626e-323
